Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,April Employment,May Employment,June Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2023,2,County,Illinois,"Fayette County, Illinois",Private,1024 Professional and business services,,35,304,307,312,"3,029,455",757,0.40,0.28
2023,2,County,Illinois,"Fayette County, Illinois",Private,1025 Education and health services,,37,688,692,702,"7,441,431",825,0.84,0.97
2023,2,County,Illinois,"Fayette County, Illinois",Private,1026 Leisure and hospitality,,50,613,605,645,"2,946,745",365,1.09,1.11
2023,2,County,Illinois,"Fayette County, Illinois",Private,1027 Other services,,47,160,157,157,"1,129,163",550,0.98,0.97
2023,2,County,Illinois,"Ford County, Illinois",Total Covered,"10 Total, all industries",,360,"5,425","5,456","5,556","75,145,602","1,055",1.00,1.00
2023,2,County,Illinois,"Ford County, Illinois",Federal Government,"10 Total, all industries",,13,46,44,43,"610,746","1,060",0.41,0.31
2023,2,County,Illinois,"Ford County, Illinois",Local Government,"10 Total, all industries",,27,762,752,790,"6,801,913",681,1.53,1.04
2023,2,County,Illinois,"Ford County, Illinois",Private,"10 Total, all industries",,320,"4,617","4,660","4,723","67,732,943","1,116",0.99,1.06
2023,2,County,Illinois,"Ford County, Illinois",Private,101 Goods-producing,,91,"1,122","1,163","1,193","16,201,654","1,075",1.44,1.32
2023,2,County,Illinois,"Ford County, Illinois",Private,1011 Natural resources and mining,,31,128,154,158,"1,870,059",981,2.25,2.17
2023,2,County,Illinois,"Ford County, Illinois",Private,1012 Construction,,35,148,151,171,"2,514,647","1,235",0.59,0.60
2023,2,County,Illinois,"Ford County, Illinois",Private,1013 Manufacturing,,25,846,858,864,"11,816,948","1,062",1.85,1.64
2023,2,County,Illinois,"Ford County, Illinois",Private,102 Service-providing,,229,"3,495","3,497","3,530","51,531,289","1,130",0.90,0.99
2023,2,County,Illinois,"Ford County, Illinois",Private,"1021 Trade, transportation, and utilities",,84,"1,305","1,305","1,315","21,213,158","1,247",1.28,1.81
2023,2,County,Illinois,"Ford County, Illinois",Private,1022 Information,,7,46,46,47,"195,192",324,0.44,0.06
2023,2,County,Illinois,"Ford County, Illinois",Private,1023 Financial activities,,26,163,161,164,"1,628,594",770,0.52,0.26
2023,2,County,Illinois,"Ford County, Illinois",Private,1024 Professional and business services,,31,447,468,442,"5,338,351",908,0.54,0.36
2023,2,County,Illinois,"Ford County, Illinois",Private,1025 Education and health services,,19,"1,147","1,133","1,161","20,800,307","1,395",1.33,1.98
2023,2,County,Illinois,"Ford County, Illinois",Private,1026 Leisure and hospitality,,32,288,283,301,"1,480,071",392,0.49,0.41
2023,2,County,Illinois,"Ford County, Illinois",Private,1027 Other services,,30,99,101,100,"875,616",674,0.60,0.54
2023,2,County,Illinois,"Franklin County, Illinois",Total Covered,"10 Total, all industries",,719,"8,825","8,904","8,877","97,286,715",844,1.00,1.00
2023,2,County,Illinois,"Franklin County, Illinois",Federal Government,"10 Total, all industries",,22,188,194,202,"3,550,290","1,403",1.20,1.39
2023,2,County,Illinois,"Franklin County, Illinois",Local Government,"10 Total, all industries",,53,"1,777","1,794","1,678","18,685,381",821,2.04,2.20
2023,2,County,Illinois,"Franklin County, Illinois",Private,"10 Total, all industries",,644,"6,860","6,916","6,997","75,051,044",834,0.92,0.90
2023,2,County,Illinois,"Franklin County, Illinois",Private,101 Goods-producing,,128,"1,464","1,487","1,494","24,552,182","1,275",1.13,1.55
2023,2,County,Illinois,"Franklin County, Illinois",Private,1011 Natural resources and mining,,16,369,370,365,"9,795,054","2,047",3.25,8.77
2023,2,County,Illinois,"Franklin County, Illinois",Private,1012 Construction,,75,516,539,545,"6,903,857",996,1.17,1.28
2023,2,County,Illinois,"Franklin County, Illinois",Private,1013 Manufacturing,,37,579,578,584,"7,853,271","1,041",0.78,0.84
2023,2,County,Illinois,"Franklin County, Illinois",Private,102 Service-providing,,516,"5,396","5,429","5,503","50,498,862",714,0.87,0.75
2023,2,County,Illinois,"Franklin County, Illinois",Private,"1021 Trade, transportation, and utilities",,163,"1,684","1,692","1,690","15,692,619",715,1.03,1.04
2023,2,County,Illinois,"Franklin County, Illinois",Private,1022 Information,,9,158,162,155,"1,542,912",750,0.91,0.38
2023,2,County,Illinois,"Franklin County, Illinois",Private,1023 Financial activities,,46,255,257,259,"2,723,304",815,0.51,0.33
2023,2,County,Illinois,"Franklin County, Illinois",Private,1024 Professional and business services,,77,426,429,428,"6,820,800","1,227",0.33,0.35
2023,2,County,Illinois,"Franklin County, Illinois",Private,1025 Education and health services,,55,"1,404","1,413","1,398","15,225,895",834,1.00,1.12
2023,2,County,Illinois,"Franklin County, Illinois",Private,1026 Leisure and hospitality,,96,"1,140","1,152","1,242","5,280,047",345,1.26,1.12
2023,2,County,Illinois,"Franklin County, Illinois",Private,1027 Other services,,70,329,324,331,"3,213,285",754,1.24,1.54
2023,2,County,Illinois,"Fulton County, Illinois",Total Covered,"10 Total, all industries",,666,"8,428","8,426","8,396","88,536,689",809,1.00,1.00
2023,2,County,Illinois,"Fulton County, Illinois",Federal Government,"10 Total, all industries",,22,92,91,95,"1,220,902","1,013",0.60,0.53
2023,2,County,Illinois,"Fulton County, Illinois",State Government,"10 Total, all industries",N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Fulton County, Illinois",Local Government,"10 Total, all industries",N,74,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Fulton County, Illinois",Private,"10 Total, all industries",,569,"6,208","6,191","6,257","64,423,701",797,0.87,0.85
2023,2,County,Illinois,"Fulton County, Illinois",Private,101 Goods-producing,,106,894,890,904,"10,891,454",935,0.72,0.75
2023,2,County,Illinois,"Fulton County, Illinois",Private,1011 Natural resources and mining,,27,277,269,262,"3,083,483",881,2.47,3.03
2023,2,County,Illinois,"Fulton County, Illinois",Private,1012 Construction,,66,313,327,347,"4,167,208",974,0.79,0.85
2023,2,County,Illinois,"Fulton County, Illinois",Private,1013 Manufacturing,,13,304,294,295,"3,640,763",941,0.42,0.43
2023,2,County,Illinois,"Fulton County, Illinois",Private,102 Service-providing,,463,"5,314","5,301","5,353","53,532,247",774,0.90,0.88
2023,2,County,Illinois,"Fulton County, Illinois",Private,"1021 Trade, transportation, and utilities",,152,"1,625","1,617","1,592","17,620,234",841,1.02,1.28
2023,2,County,Illinois,"Fulton County, Illinois",Private,1022 Information,,9,83,82,80,"1,012,160",953,0.49,0.28
2023,2,County,Illinois,"Fulton County, Illinois",Private,1023 Financial activities,,52,473,467,474,"6,045,385",987,1.00,0.82
2023,2,County,Illinois,"Fulton County, Illinois",Private,1024 Professional and business services,,53,306,275,275,"3,351,793",904,0.22,0.19
2023,2,County,Illinois,"Fulton County, Illinois",Private,1025 Education and health services,,45,"1,750","1,775","1,806","20,436,680",885,1.37,1.65
2023,2,County,Illinois,"Fulton County, Illinois",Private,1026 Leisure and hospitality,,84,756,764,784,"3,141,619",315,0.84,0.73
2023,2,County,Illinois,"Fulton County, Illinois",Private,1027 Other services,,67,319,321,342,"1,922,876",452,1.36,1.02
2023,2,County,Illinois,"Fulton County, Illinois",Private,1029 Unclassified,,1,2,0,0,"1,500",173,0.00,0.01
2023,2,County,Illinois,"Gallatin County, Illinois",Total Covered,"10 Total, all industries",,128,894,905,915,"10,530,894",895,1.00,1.00
2023,2,County,Illinois,"Gallatin County, Illinois",Federal Government,"10 Total, all industries",,9,17,17,18,"201,956",896,1.04,0.73
2023,2,County,Illinois,"Gallatin County, Illinois",Local Government,"10 Total, all industries",,18,223,219,221,"1,901,409",662,2.60,2.07
2023,2,County,Illinois,"Gallatin County, Illinois",Private,"10 Total, all industries",,101,654,669,676,"8,427,529",973,0.86,0.94
2023,2,County,Illinois,"Gallatin County, Illinois",Private,101 Goods-producing,,35,223,226,232,"2,733,501",926,1.70,1.59
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1011 Natural resources and mining,,21,165,168,167,"2,087,256",963,14.43,17.26
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1012 Construction,,8,16,19,22,"104,000",421,0.46,0.18
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1013 Manufacturing,,6,42,39,43,"542,245","1,009",0.56,0.54
2023,2,County,Illinois,"Gallatin County, Illinois",Private,102 Service-providing,,66,431,443,444,"5,694,028",997,0.68,0.78
2023,2,County,Illinois,"Gallatin County, Illinois",Private,"1021 Trade, transportation, and utilities",,28,191,194,207,"2,691,287","1,049",1.22,1.64
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1022 Information,N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1023 Financial activities,,3,12,14,13,"126,215",747,0.25,0.14
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1024 Professional and business services,,12,28,28,26,"310,302",873,0.19,0.15
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1025 Education and health services,N,3,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1026 Leisure and hospitality,,8,37,42,36,"159,901",321,0.36,0.31
2023,2,County,Illinois,"Gallatin County, Illinois",Private,1027 Other services,,11,40,39,40,"328,572",637,1.46,1.46
2023,2,County,Illinois,"Greene County, Illinois",Total Covered,"10 Total, all industries",,245,"2,298","2,322","2,362","23,189,022",766,1.00,1.00
2023,2,County,Illinois,"Greene County, Illinois",Federal Government,"10 Total, all industries",,10,47,46,46,"552,571",917,1.03,0.91
2023,2,County,Illinois,"Greene County, Illinois",Local Government,"10 Total, all industries",,35,604,622,636,"4,986,341",618,2.90,2.46
2023,2,County,Illinois,"Greene County, Illinois",Private,"10 Total, all industries",,200,"1,647","1,654","1,680","17,650,110",818,0.83,0.89
2023,2,County,Illinois,"Greene County, Illinois",Private,101 Goods-producing,,39,242,245,256,"2,673,734",830,0.73,0.71
2023,2,County,Illinois,"Greene County, Illinois",Private,1011 Natural resources and mining,,8,107,108,110,"1,294,474",919,3.68,4.86
2023,2,County,Illinois,"Greene County, Illinois",Private,1012 Construction,,22,81,78,86,"890,787",839,0.69,0.69
2023,2,County,Illinois,"Greene County, Illinois",Private,1013 Manufacturing,,9,54,59,60,"488,473",652,0.30,0.22
2023,2,County,Illinois,"Greene County, Illinois",Private,102 Service-providing,,161,"1,405","1,409","1,424","14,976,376",815,0.85,0.93
2023,2,County,Illinois,"Greene County, Illinois",Private,"1021 Trade, transportation, and utilities",,65,453,453,464,"4,834,724",814,1.06,1.34
2023,2,County,Illinois,"Greene County, Illinois",Private,1022 Information,,3,3,3,3,"37,158",953,0.07,0.04
2023,2,County,Illinois,"Greene County, Illinois",Private,1023 Financial activities,,15,214,217,213,"3,606,566","1,292",1.59,1.86
2023,2,County,Illinois,"Greene County, Illinois",Private,1024 Professional and business services,,22,129,128,124,"1,512,306",916,0.36,0.33
2023,2,County,Illinois,"Greene County, Illinois",Private,1025 Education and health services,,13,358,353,364,"3,853,284",827,0.98,1.19
2023,2,County,Illinois,"Greene County, Illinois",Private,1026 Leisure and hospitality,,25,199,203,204,"660,130",251,0.78,0.59
2023,2,County,Illinois,"Greene County, Illinois",Private,1027 Other services,,17,42,45,45,"411,508",719,0.64,0.83
2023,2,County,Illinois,"Greene County, Illinois",Private,1029 Unclassified,,1,7,7,7,"60,700",667,1.11,1.01
2023,2,County,Illinois,"Grundy County, Illinois",Total Covered,"10 Total, all industries",,"1,201","21,712","21,260","21,308","353,982,301","1,271",1.00,1.00
2023,2,County,Illinois,"Grundy County, Illinois",Federal Government,"10 Total, all industries",,17,108,113,115,"2,029,163","1,394",0.28,0.22
2023,2,County,Illinois,"Grundy County, Illinois",Local Government,"10 Total, all industries",,45,"2,896","2,921","2,872","36,375,205",966,1.45,1.18
2023,2,County,Illinois,"Grundy County, Illinois",Private,"10 Total, all industries",,"1,139","18,708","18,226","18,321","315,577,933","1,318",1.00,1.04
2023,2,County,Illinois,"Grundy County, Illinois",Private,101 Goods-producing,,227,"4,318","3,658","3,438","99,712,526","2,016",1.08,1.73
2023,2,County,Illinois,"Grundy County, Illinois",Private,1011 Natural resources and mining,,19,244,243,258,"6,345,638","1,966",0.96,1.56
2023,2,County,Illinois,"Grundy County, Illinois",Private,1012 Construction,,160,"2,784","2,121","1,890","63,575,859","2,159",1.69,3.23
2023,2,County,Illinois,"Grundy County, Illinois",Private,1013 Manufacturing,,48,"1,290","1,294","1,290","29,791,029","1,775",0.72,0.88
2023,2,County,Illinois,"Grundy County, Illinois",Private,102 Service-providing,,912,"14,390","14,568","14,883","215,865,407","1,136",0.99,0.88
2023,2,County,Illinois,"Grundy County, Illinois",Private,"1021 Trade, transportation, and utilities",,264,"7,858","7,867","7,912","140,273,636","1,369",2.01,2.55
2023,2,County,Illinois,"Grundy County, Illinois",Private,1022 Information,,12,77,80,82,"950,281",918,0.20,0.07
2023,2,County,Illinois,"Grundy County, Illinois",Private,1023 Financial activities,,96,536,552,554,"9,040,829","1,271",0.46,0.31
2023,2,County,Illinois,"Grundy County, Illinois",Private,1024 Professional and business services,,164,989,"1,001","1,030","16,770,380","1,281",0.33,0.24
2023,2,County,Illinois,"Grundy County, Illinois",Private,1025 Education and health services,,126,"2,621","2,658","2,708","33,502,561",968,0.81,0.68
2023,2,County,Illinois,"Grundy County, Illinois",Private,1026 Leisure and hospitality,,141,"1,825","1,934","2,060","9,372,546",372,0.87,0.55
2023,2,County,Illinois,"Grundy County, Illinois",Private,1027 Other services,,106,477,470,531,"5,914,002",923,0.83,0.78
2023,2,County,Illinois,"Grundy County, Illinois",Private,1029 Unclassified,,3,7,6,6,"41,172",500,0.11,0.04
2023,2,County,Illinois,"Hamilton County, Illinois",Total Covered,"10 Total, all industries",,207,"2,001","2,043","2,012","26,254,953","1,000",1.00,1.00
2023,2,County,Illinois,"Hamilton County, Illinois",Federal Government,"10 Total, all industries",,8,37,40,36,"529,770","1,082",0.94,0.77
2023,2,County,Illinois,"Hamilton County, Illinois",Local Government,"10 Total, all industries",,24,508,545,524,"6,013,664",880,2.81,2.62
2023,2,County,Illinois,"Hamilton County, Illinois",Private,"10 Total, all industries",,175,"1,456","1,458","1,452","19,711,519","1,042",0.84,0.88
2023,2,County,Illinois,"Hamilton County, Illinois",Private,101 Goods-producing,,42,653,656,656,"12,752,127","1,498",2.19,2.98
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1011 Natural resources and mining,,16,480,489,499,"10,844,369","1,705",19.61,35.97
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1012 Construction,,15,70,67,67,"797,460",902,0.63,0.55
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1013 Manufacturing,,11,103,100,90,"1,110,298",874,0.53,0.44
2023,2,County,Illinois,"Hamilton County, Illinois",Private,102 Service-providing,,133,803,802,796,"6,959,392",669,0.56,0.38
2023,2,County,Illinois,"Hamilton County, Illinois",Private,"1021 Trade, transportation, and utilities",,47,314,319,320,"3,021,410",732,0.86,0.74
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1022 Information,,3,35,35,35,"492,430","1,082",0.90,0.45
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1023 Financial activities,,15,42,41,43,"531,668",974,0.38,0.24
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1024 Professional and business services,,15,46,43,42,"408,452",720,0.14,0.08
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1025 Education and health services,,13,142,140,136,"1,336,588",738,0.43,0.36
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1026 Leisure and hospitality,,12,123,125,123,"596,502",371,0.55,0.47
2023,2,County,Illinois,"Hamilton County, Illinois",Private,1027 Other services,,28,101,99,97,"572,342",445,1.61,1.02
2023,2,County,Illinois,"Hancock County, Illinois",Total Covered,"10 Total, all industries",,415,"4,049","4,102","4,132","44,502,783",836,1.00,1.00
2023,2,County,Illinois,"Hancock County, Illinois",Federal Government,"10 Total, all industries",,17,64,69,69,"874,442",999,0.88,0.75
2023,2,County,Illinois,"Hancock County, Illinois",Local Government,"10 Total, all industries",,51,889,895,871,"7,301,009",635,2.27,1.88
2023,2,County,Illinois,"Hancock County, Illinois",Private,"10 Total, all industries",,347,"3,096","3,138","3,192","36,327,332",889,0.90,0.96
2023,2,County,Illinois,"Hancock County, Illinois",Private,101 Goods-producing,,84,984,"1,000","1,018","13,863,485","1,066",1.65,1.91
2023,2,County,Illinois,"Hancock County, Illinois",Private,1011 Natural resources and mining,,36,544,544,555,"6,816,054",957,10.62,13.34
2023,2,County,Illinois,"Hancock County, Illinois",Private,1012 Construction,,29,158,174,180,"2,526,987","1,139",0.83,1.02
2023,2,County,Illinois,"Hancock County, Illinois",Private,1013 Manufacturing,,19,282,282,283,"4,520,444","1,232",0.82,1.06
2023,2,County,Illinois,"Hancock County, Illinois",Private,102 Service-providing,,263,"2,112","2,138","2,174","22,463,847",807,0.74,0.73
2023,2,County,Illinois,"Hancock County, Illinois",Private,"1021 Trade, transportation, and utilities",,100,809,816,816,"7,983,671",755,1.07,1.15
2023,2,County,Illinois,"Hancock County, Illinois",Private,1022 Information,,6,21,20,19,"479,707","1,845",0.24,0.26
2023,2,County,Illinois,"Hancock County, Illinois",Private,1023 Financial activities,,28,191,193,193,"1,875,232",750,0.82,0.50
2023,2,County,Illinois,"Hancock County, Illinois",Private,1024 Professional and business services,,36,190,199,199,"2,846,592","1,117",0.33,0.32
2023,2,County,Illinois,"Hancock County, Illinois",Private,1025 Education and health services,,22,507,503,515,"7,037,618","1,065",0.79,1.13
2023,2,County,Illinois,"Hancock County, Illinois",Private,1026 Leisure and hospitality,,40,311,327,349,"1,412,349",330,0.76,0.65
2023,2,County,Illinois,"Hancock County, Illinois",Private,1027 Other services,,31,83,80,83,"828,678",777,0.67,0.87
2023,2,County,Illinois,"Hardin County, Illinois",Total Covered,"10 Total, all industries",,60,743,728,738,"7,778,853",813,1.00,1.00
2023,2,County,Illinois,"Hardin County, Illinois",Federal Government,"10 Total, all industries",,4,8,7,7,"87,059",913,0.50,0.43
2023,2,County,Illinois,"Hardin County, Illinois",Local Government,"10 Total, all industries",,6,147,143,148,"1,270,244",669,2.16,1.87
2023,2,County,Illinois,"Hardin County, Illinois",Private,"10 Total, all industries",,50,588,578,583,"6,421,550",847,0.92,0.97
2023,2,County,Illinois,"Hardin County, Illinois",Private,101 Goods-producing,,6,74,75,76,"1,248,833","1,281",0.69,0.98
2023,2,County,Illinois,"Hardin County, Illinois",Private,1011 Natural resources and mining,,4,73,74,75,"1,232,958","1,282",8.03,13.80
2023,2,County,Illinois,"Hardin County, Illinois",Private,1012 Construction,N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Hardin County, Illinois",Private,1013 Manufacturing,N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Hardin County, Illinois",Private,102 Service-providing,,44,514,503,507,"5,172,717",783,0.97,0.96
2023,2,County,Illinois,"Hardin County, Illinois",Private,"1021 Trade, transportation, and utilities",,20,161,146,137,"1,430,101",743,1.00,1.18
2023,2,County,Illinois,"Hardin County, Illinois",Private,1022 Information,N,2,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Hardin County, Illinois",Private,1023 Financial activities,N,5,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Hardin County, Illinois",Private,1024 Professional and business services,N,2,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Hardin County, Illinois",Private,1025 Education and health services,,4,224,225,230,"2,473,325",841,1.98,2.27
2023,2,County,Illinois,"Hardin County, Illinois",Private,1026 Leisure and hospitality,,5,30,35,44,"151,380",320,0.54,0.40
2023,2,County,Illinois,"Hardin County, Illinois",Private,1027 Other services,,6,8,8,8,"44,907",432,0.36,0.27
2023,2,County,Illinois,"Henderson County, Illinois",Total Covered,"10 Total, all industries",,141,"1,117","1,102","1,113","9,805,292",679,1.00,1.00
2023,2,County,Illinois,"Henderson County, Illinois",Federal Government,"10 Total, all industries",,11,32,33,36,"494,499","1,130",1.70,1.92
2023,2,County,Illinois,"Henderson County, Illinois",Local Government,"10 Total, all industries",,25,334,319,319,"2,386,221",567,3.09,2.79
2023,2,County,Illinois,"Henderson County, Illinois",Private,"10 Total, all industries",,105,751,750,758,"6,924,572",707,0.79,0.83
2023,2,County,Illinois,"Henderson County, Illinois",Private,101 Goods-producing,,27,110,110,114,"1,163,847",804,0.69,0.73
2023,2,County,Illinois,"Henderson County, Illinois",Private,1011 Natural resources and mining,,8,37,38,36,"407,955",848,2.56,3.62
2023,2,County,Illinois,"Henderson County, Illinois",Private,1012 Construction,,15,47,48,53,"550,692",859,0.91,1.01
2023,2,County,Illinois,"Henderson County, Illinois",Private,1013 Manufacturing,,4,26,24,25,"205,200",631,0.27,0.22
2023,2,County,Illinois,"Henderson County, Illinois",Private,102 Service-providing,,78,641,640,644,"5,760,725",691,0.82,0.85
2023,2,County,Illinois,"Henderson County, Illinois",Private,"1021 Trade, transportation, and utilities",,30,269,260,263,"2,506,405",730,1.28,1.64
2023,2,County,Illinois,"Henderson County, Illinois",Private,1022 Information,N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Henderson County, Illinois",Private,1023 Financial activities,,15,95,99,102,"1,089,181",849,1.62,1.33
2023,2,County,Illinois,"Henderson County, Illinois",Private,1024 Professional and business services,,10,37,39,38,"345,184",699,0.23,0.18
2023,2,County,Illinois,"Henderson County, Illinois",Private,1025 Education and health services,,4,149,153,150,"1,388,387",709,0.86,1.01
2023,2,County,Illinois,"Henderson County, Illinois",Private,1026 Leisure and hospitality,,10,68,66,67,"239,413",275,0.54,0.50
2023,2,County,Illinois,"Henderson County, Illinois",Private,1027 Other services,N,8,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Henry County, Illinois",Total Covered,"10 Total, all industries",,"1,035","13,438","13,683","13,835","155,965,507",879,1.00,1.00
2023,2,County,Illinois,"Henry County, Illinois",Federal Government,"10 Total, all industries",,19,137,144,146,"2,307,790","1,247",0.56,0.56
2023,2,County,Illinois,"Henry County, Illinois",State Government,"10 Total, all industries",N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Henry County, Illinois",Local Government,"10 Total, all industries",N,74,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Henry County, Illinois",Private,"10 Total, all industries",,941,"9,800","9,984","10,240","118,030,039",907,0.86,0.89
2023,2,County,Illinois,"Henry County, Illinois",Private,101 Goods-producing,,217,"3,044","3,106","3,250","46,884,223","1,151",1.57,1.84
2023,2,County,Illinois,"Henry County, Illinois",Private,1011 Natural resources and mining,,37,453,430,494,"7,444,397","1,248",2.82,4.16
2023,2,County,Illinois,"Henry County, Illinois",Private,1012 Construction,,136,"1,018","1,081","1,149","20,462,221","1,454",1.58,2.36
2023,2,County,Illinois,"Henry County, Illinois",Private,1013 Manufacturing,,44,"1,573","1,595","1,607","18,977,605",917,1.38,1.27
2023,2,County,Illinois,"Henry County, Illinois",Private,102 Service-providing,,724,"6,756","6,878","6,990","71,145,816",796,0.71,0.66
2023,2,County,Illinois,"Henry County, Illinois",Private,"1021 Trade, transportation, and utilities",,270,"2,614","2,630","2,616","26,802,214",787,1.02,1.10
2023,2,County,Illinois,"Henry County, Illinois",Private,1022 Information,,15,101,99,99,"1,470,746","1,135",0.37,0.23
2023,2,County,Illinois,"Henry County, Illinois",Private,1023 Financial activities,,62,662,666,687,"9,811,367","1,124",0.88,0.75
2023,2,County,Illinois,"Henry County, Illinois",Private,1024 Professional and business services,,95,828,825,834,"13,743,400","1,275",0.41,0.45
2023,2,County,Illinois,"Henry County, Illinois",Private,1025 Education and health services,,68,993,"1,003","1,010","10,995,539",844,0.46,0.50
2023,2,County,Illinois,"Henry County, Illinois",Private,1026 Leisure and hospitality,,121,"1,252","1,347","1,426","5,677,374",326,0.93,0.75
2023,2,County,Illinois,"Henry County, Illinois",Private,1027 Other services,,91,288,288,297,"2,448,782",647,0.72,0.73
2023,2,County,Illinois,"Henry County, Illinois",Private,1029 Unclassified,,2,18,20,21,"196,394",768,0.57,0.48
2023,2,County,Illinois,"Iroquois County, Illinois",Total Covered,"10 Total, all industries",,694,"6,820","6,916","7,072","78,745,725",873,1.00,1.00
2023,2,County,Illinois,"Iroquois County, Illinois",Federal Government,"10 Total, all industries",,25,83,87,92,"1,138,616","1,003",0.68,0.55
2023,2,County,Illinois,"Iroquois County, Illinois",Local Government,"10 Total, all industries",,75,"1,205","1,224","1,271","11,241,295",701,1.94,1.64
2023,2,County,Illinois,"Iroquois County, Illinois",Private,"10 Total, all industries",,594,"5,532","5,605","5,709","66,365,814",909,0.94,0.99
2023,2,County,Illinois,"Iroquois County, Illinois",Private,101 Goods-producing,,160,"1,266","1,303","1,344","21,751,693","1,283",1.27,1.69
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1011 Natural resources and mining,,40,234,239,234,"2,786,669",910,2.62,3.08
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1012 Construction,,91,454,491,516,"8,425,639","1,331",1.39,1.92
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1013 Manufacturing,,29,578,573,594,"10,539,385","1,394",1.00,1.39
2023,2,County,Illinois,"Iroquois County, Illinois",Private,102 Service-providing,,434,"4,266","4,302","4,365","44,614,121",796,0.87,0.82
2023,2,County,Illinois,"Iroquois County, Illinois",Private,"1021 Trade, transportation, and utilities",,161,"1,792","1,785","1,806","21,112,462",905,1.38,1.72
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1022 Information,,15,72,71,70,"466,451",505,0.51,0.14
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1023 Financial activities,,46,381,376,375,"5,291,045","1,079",0.94,0.80
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1024 Professional and business services,,56,215,230,220,"2,372,000",823,0.21,0.15
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1025 Education and health services,,49,"1,161","1,179","1,187","11,801,588",772,1.07,1.07
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1026 Leisure and hospitality,,61,524,540,565,"2,179,501",309,0.72,0.57
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1027 Other services,,45,121,121,142,"1,391,074",836,0.67,0.83
2023,2,County,Illinois,"Iroquois County, Illinois",Private,1029 Unclassified,,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Jackson County, Illinois",Total Covered,"10 Total, all industries",,"1,151","24,891","24,974","24,754","347,480,877","1,075",1.00,1.00
2023,2,County,Illinois,"Jackson County, Illinois",Federal Government,"10 Total, all industries",,18,154,154,156,"2,579,180","1,283",0.33,0.28
2023,2,County,Illinois,"Jackson County, Illinois",State Government,"10 Total, all industries",N,2,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Jackson County, Illinois",Local Government,"10 Total, all industries",N,48,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Jackson County, Illinois",Private,"10 Total, all industries",,"1,083","16,592","16,641","16,607","215,962,749","1,000",0.78,0.73
2023,2,County,Illinois,"Jackson County, Illinois",Private,101 Goods-producing,,169,"2,794","2,848","2,920","45,128,383","1,216",0.79,0.80
2023,2,County,Illinois,"Jackson County, Illinois",Private,1011 Natural resources and mining,,26,580,571,558,"12,167,387","1,643",1.78,3.05
2023,2,County,Illinois,"Jackson County, Illinois",Private,1012 Construction,,103,"1,071","1,139","1,213","18,195,333","1,227",0.93,0.94
2023,2,County,Illinois,"Jackson County, Illinois",Private,1013 Manufacturing,,40,"1,143","1,138","1,149","14,765,663",993,0.55,0.44
2023,2,County,Illinois,"Jackson County, Illinois",Private,102 Service-providing,,914,"13,798","13,793","13,687","170,834,366",955,0.78,0.71
